domain_idx,domain_name,n_in,n_out,a_top_in,b_top_out,c_not_top_in,d_not_top_out,odds_ratio,fisher_p,p_adj,median_pos_percentile,tau_cover_95,tau_cover_90,tau_all_in,layer_i,latent_ind,flattened_id,latent_i,latent_label,tau_input
9059,Alpha/Beta hydrolase fold,63,9937,63,137,0,9800,9052.098181818183,1.9133549479388592e-112,2.311332777110142e-109,0.9968996899689969,0.9940994099409941,0.9943994399439944,0.9937993799379938,12,2112,10304,80,L12-2112,0.98
3924,Adenylate kinase/UMP-CMP kinase,20,9980,20,180,0,9800,2226.1523545706373,4.0010518471800975e-35,4.833270631393558e-32,0.9890489048904891,0.9831983198319832,0.9846984698469847,0.9821982198219822,12,2112,10304,80,L12-2112,0.98
617,"Adenylate kinase, conserved site",19,9981,19,181,0,9800,2105.8925619834713,2.2063258832433455e-33,2.6652416669579612e-30,0.9890989098909891,0.9830983098309831,0.9844984498449845,0.9821982198219822,12,2112,10304,80,L12-2112,0.98
2514,Amidase signature domain,17,9983,17,183,0,9800,1869.3051771117166,6.601244502519657e-30,7.974303359043745e-27,0.9913991399139914,0.9905990599059906,0.9906990699069907,0.9905990599059906,12,2112,10304,80,L12-2112,0.98
3746,Amidase,17,9983,17,183,0,9800,1869.3051771117166,6.601244502519657e-30,7.974303359043745e-27,0.9913991399139914,0.9905990599059906,0.9906990699069907,0.9905990599059906,12,2112,10304,80,L12-2112,0.98
9584,Amidase signature (AS) superfamily,17,9983,17,183,0,9800,1869.3051771117166,6.601244502519657e-30,7.974303359043745e-27,0.9913991399139914,0.9905990599059906,0.9906990699069907,0.9905990599059906,12,2112,10304,80,L12-2112,0.98
5130,Adenylate kinase subfamily,17,9983,17,183,0,9800,1869.3051771117166,6.601244502519657e-30,7.974303359043745e-27,0.9886988698869887,0.982998299829983,0.9841984198419842,0.9821982198219822,12,2112,10304,80,L12-2112,0.98
659,Alpha/beta hydrolase fold-1,16,9984,16,184,0,9800,1752.9349593495936,3.581892669193275e-28,4.326926344385477e-25,0.9975497549754976,0.9940994099409941,0.9943994399439944,0.9940994099409941,12,2112,10304,80,L12-2112,0.98
492,"Amidase, conserved site",16,9984,16,184,0,9800,1752.9349593495936,3.581892669193275e-28,4.326926344385477e-25,0.9913491349134913,0.9905990599059906,0.9906990699069907,0.9905990599059906,12,2112,10304,80,L12-2112,0.98
4684,Glutamyl-tRNA(Gln) amidotransferase A subunit,16,9984,16,184,0,9800,1752.9349593495936,3.581892669193275e-28,4.326926344385477e-25,0.9913491349134913,0.9905990599059906,0.9906990699069907,0.9905990599059906,12,2112,10304,80,L12-2112,0.98
4266,UDP-glucuronosyl/UDP-glucosyltransferase,14,9986,14,186,0,9800,1523.9383378016087,1.037928713288933e-24,1.253817885653031e-21,0.9870987098709871,0.9841984198419842,0.9848984898489849,0.9830983098309831,12,2112,10304,80,L12-2112,0.98
1660,"Adenylate kinase, active site lid domain",12,9988,12,188,0,9800,1299.8010610079575,2.9449752835206045e-21,3.55753014249289e-18,0.9888488848884889,0.9827982798279828,0.9835983598359836,0.9821982198219822,12,2112,10304,80,L12-2112,0.98
623,"UDP-glycosyltransferase family, conserved site",12,9988,12,188,0,9800,1299.8010610079575,2.9449752835206045e-21,3.55753014249289e-18,0.9875987598759877,0.9842984298429843,0.9852985298529853,0.9830983098309831,12,2112,10304,80,L12-2112,0.98
1319,"Glycosyltransferase family 28, N-terminal domain",11,9989,11,189,0,9800,1189.5065963060686,1.556473973919964e-19,1.8802205604953166e-16,0.9884988498849885,0.9835983598359836,0.9856985698569857,0.9815981598159816,12,2112,10304,80,L12-2112,0.98
5075,"N-acetylglucosaminyltransferase, MurG",11,9989,11,189,0,9800,1189.5065963060686,1.556473973919964e-19,1.8802205604953166e-16,0.9884988498849885,0.9835983598359836,0.9856985698569857,0.9815981598159816,12,2112,10304,80,L12-2112,0.98
1606,"Glycosyl transferase, family 28, C-terminal",12,9988,11,189,1,9799,570.3121693121693,1.8353740405852302e-18,2.217131841026958e-15,0.9882988298829882,0.957995799579958,0.981998199819982,0.9292929292929293,12,2112,10304,80,L12-2112,0.98
