domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
2275,"Carbohydrate kinase FGGY, C-terminal",20,9980,8.409507117357665e-10,2.388300021329577e-07,0.8892459919839679,0.002,topq,20,0.0,0.0,11.850684116597263,1.0,40,0.0,0.0,5.986449864498645,1.0,1.0,1.0
10004,SIS domain superfamily,26,9974,1.0096497656144658e-09,2.867405334345083e-07,0.8398142863753452,0.0026,topq,26,0.0,0.0,7.083303666785332,1.0,52,0.0,0.0,3.5660377358490565,1.0,1.0,1.0
8740,Aldolase-type TIM barrel,245,9755,2.9902586199244793e-09,8.492334480585522e-07,0.6085942321572402,0.0245,topq,245,0.0,0.0,0.07889879335161211,1.0,490,0.0020408163265306124,0.08329862557267806,0.07765932481813001,0.9999961434201557,1.0,1.0
8705,Ribonuclease H-like superfamily,68,9932,3.33169517682842e-08,9.462014302192714e-06,0.6896291843358366,0.0068,topq,68,0.0,0.0,1.0511481698545475,1.0,136,0.0,0.0,0.523862998315553,1.0,1.0,0.010675893719525962
9204,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily",38,9962,5.547257162751217e-07,0.00015754210342213456,0.7284813871659676,0.0038,topq,38,0.0,0.0,3.3477820880418285,1.0,76,0.0,0.0,1.6783804430863256,1.0,1.0,1.0
58,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",41,9959,5.933132093593553e-07,0.0001685009514580569,0.719395864507897,0.0041,topq,41,0.0,0.0,2.879518072289157,1.0,82,0.0,0.0,1.4424972617743703,1.0,1.0,1.0
672,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",41,9959,5.933132093593553e-07,0.0001685009514580569,0.719395864507897,0.0041,topq,41,0.0,0.0,2.879518072289157,1.0,82,0.0,0.0,1.4424972617743703,1.0,1.0,1.0
1283,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",40,9960,7.519558006971956e-07,0.00021355544739800356,0.7199548192771085,0.004,topq,40,0.0,0.0,3.024081694863588,1.0,80,0.0,0.0,1.5152979066022545,1.0,1.0,1.0
1395,Small GTP-binding domain,128,9872,1.1226727883295757e-06,0.0003188390718855995,0.6214324604943274,0.0128,topq,128,0.0,0.0,0.2950688125482596,1.0,256,0.0,0.0,0.14588026486449587,1.0,1.0,1.0
1194,"ABC transporter-like, ATP-binding domain",67,9933,1.6739710721809805e-06,0.00047540778449939845,0.6644345472877232,0.0067,topq,67,0.0,0.0,1.082743484224966,1.0,134,0.0,0.0,0.53969434118133,1.0,1.0,1.0
