domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
9059,Alpha/Beta hydrolase fold,63,9937,0.0,0.0,0.9710485582982312,0.0063,topq,63,0.6349206349206349,100.78105316200553,749.640831758034,7.399567392943611e-79,126,0.373015873015873,59.208868732678255,366.55537974683546,9.554849284020572e-80,1.0,1.0
1395,Small GTP-binding domain,128,9872,1.0223013789983641e-81,2.903335916355354e-79,0.6562638491440438,0.0128,topq,128,0.1328125,10.3759765625,13.467819170521873,4.2079188695236286e-13,256,0.125,9.765625,14.357142857142858,2.848967439777482e-23,1.0,1.0
8588,"Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal",23,9977,3.2526990791993854e-65,9.237665384926255e-63,0.8264508369249274,0.0023,topq,23,0.0,0.0,9.012675418741512,1.0,46,0.0,0.0,4.5442690459849,1.0,1.0,1.0
1458,GTP binding domain,62,9938,2.1827391410728215e-31,6.198979160646813e-29,0.635772434253663,0.0062,topq,62,0.016129032258064516,2.6014568158168574,2.654393980112873,0.32076030190187776,124,0.024193548387096774,3.902185223725286,4.125367698557222,0.041464816597583935,1.0,1.0
1301,"Translation elongation factor EFTu-like, domain 2",55,9945,6.004822078163797e-28,1.7053694701985184e-25,0.635418437771379,0.0055,topq,55,0.0,0.0,1.6054703352000648,1.0,110,0.0,0.0,0.8018833312950959,1.0,1.0,1.0
609,"Tr-type G domain, conserved site",56,9944,2.053608350532911e-27,5.832247715513467e-25,0.6328250703942075,0.0056,topq,56,0.0,0.0,1.5488291957083562,1.0,112,0.0,0.0,0.7734513274336283,1.0,1.0,1.0
9005,P-loop containing nucleoside triphosphate hydrolase,652,9348,3.5708324333358906e-27,1.014116411067393e-24,0.5399586801809252,0.0652,topq,652,0.13957055214723926,2.1406526402950807,2.540717016023716,1.2469374379720163e-12,1304,0.09279141104294479,1.423181150965411,1.5727594150019182,2.2448433589266622e-05,1.0,1.0
782,Translational (tr)-type GTP-binding domain,70,9930,1.1050167808836942e-23,3.1382476577096916e-21,0.6098388721047331,0.007,topq,70,0.0,0.0,0.9919521150847543,1.0,140,0.0,0.0,0.49420761717271144,1.0,1.0,1.0
10002,"Aminoacid dehydrogenase-like, N-terminal domain superfamily",30,9970,2.3602412516768196e-19,6.703085154762167e-17,0.6498913406887329,0.003,topq,30,0.0,0.0,5.342918570276807,1.0,60,0.016666666666666666,5.555555555555555,5.792518994739917,0.16540213115146388,1.0,1.0
9278,NAD(P)-binding domain superfamily,206,9794,3.4560030809335477e-13,9.815048749851275e-11,0.5464691578557112,0.0206,topq,206,0.07766990291262135,3.770383636535017,4.256620498614958,5.1851217703443796e-06,412,0.06553398058252427,3.1812611933264208,3.686323732133788,8.781981328155734e-08,1.0,1.0
8587,"Translation protein, beta-barrel domain superfamily",106,9894,2.1230932830685623e-12,6.029584923914717e-10,0.5621870125214061,0.0106,topq,106,0.0,0.0,0.4315060944697921,1.0,212,0.018867924528301886,1.7799928800284799,1.8261689291101055,0.18754463553307138,1.0,1.0
9063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,179,9821,5.6599020473529e-11,1.6074121814482236e-08,0.544700985631633,0.0179,topq,179,0.08379888268156424,4.681501825785712,5.38574509220702,6.953512595679546e-07,358,0.061452513966480445,3.4331013389095224,3.95567940552017,3.988827620824888e-07,1.0,1.0
1344,Cytidyltransferase-like domain,37,9963,7.5181560074258565e-06,0.0021351563061089433,0.5655235180980438,0.0037,topq,37,0.0,0.0,3.5294222222222222,1.0,74,0.05405405405405406,14.609203798392988,17.13073593073593,0.00015168099533386886,1.0,1.0
8788,"K homology domain-like, alpha/beta",50,9950,3.343152109675872e-05,0.009494551991479477,0.5519587939698493,0.005,topq,50,0.0,0.0,1.941084207430644,1.0,100,0.0,0.0,0.9704448056745972,1.0,1.0,1.0
1206,AAA+ ATPase domain,175,9825,3.401276877965436e-05,0.00965962633342184,0.5279203198836787,0.0175,topq,175,0.005714285714285714,0.32653061224489793,0.3187673404676972,0.9557125765050182,350,0.045714285714285714,2.6122448979591835,2.8594885700297517,0.00041577911278332973,1.0,1.0
8610,Homedomain-like superfamily,71,9929,0.00019169579120710317,0.0544416047028173,0.538876729001261,0.0071,topq,71,0.04225352112676056,5.95120015869867,6.397707612456747,0.01389096541911489,142,0.02112676056338028,2.975600079349335,3.107278882776132,0.07983097432698825,1.0,1.0
887,Metallo-beta-lactamase,34,9966,0.00020876409380570816,0.05928900264082112,0.5557203314799731,0.0034,topq,34,0.0,0.0,4.172442764125184,1.0,68,0.0,0.0,2.0942557918121234,1.0,1.0,1.0
9541,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,35,9965,0.00028457122913753903,0.08081822907506109,0.5536319977062576,0.0035,topq,35,0.0,0.0,3.9398928783971434,1.0,70,0.0,0.0,1.9769253820797124,1.0,1.0,1.0
