layer,unit,domain,aggregator,n_pos,n_neg,auc,ci_lo,ci_hi,U,p_mwu,auc_from_U,auc_matches_U,rho_len_pos,rho_len_neg,qval
8,488,IPR029058,max,2937,2957,0.9768653733821134,0.9733430590478046,0.9801609299747407,8483791.5,0.0,0.9768653733821133,True,-0.1782098613775122,0.22018454456023812,0.0
8,488,IPR029058,topq,2937,2957,0.9710829113560397,0.9672856971949203,0.9745737508303388,8433572.5,0.0,0.9710829113560396,True,-0.5596652841522592,0.08935197330106676,0.0
8,488,IPR029058,mean,2937,2957,0.6413430778164242,0.6273765332839594,0.6555098363111532,5569878.0,4.292178910269843e-79,0.6413430778164243,True,0.13859116687862985,0.0825912106472034,5.484450829789243e-79
8,488,IPR029058,topk,2937,2957,0.8511547709888725,0.841406260704878,0.8602594960291702,7392031.5,0.0,0.8511547709888725,True,0.38509869278236314,0.42193781451970214,0.0
8,2677,IPR036188,max,4014,4124,0.98618719665458,0.9833264610176216,0.9889471091299269,16325082.5,0.0,0.98618719665458,True,-0.18934808727331523,-0.03608700295203977,0.0
8,2677,IPR036188,topq,4014,4124,0.9826156161968513,0.9795913306216796,0.9854919102551835,16265959.5,0.0,0.9826156161968512,True,-0.6589290664788955,-0.12665589353029072,0.0
8,2677,IPR036188,mean,4014,4124,0.2203245237208084,0.210629012236271,0.2304501654490563,3647194.0,1.0,0.2203245237208084,True,-0.03979441509923924,-0.1848278014397158,1.0
8,2677,IPR036188,topk,4014,4124,0.9065043383560061,0.900028905106376,0.9129796288886085,15006033.5,0.0,0.9065043383560062,True,0.11292492224842043,0.09948523106135967,0.0
8,2775,IPR009014,max,772,785,0.8163105178046929,0.7904600301970233,0.8416111885746346,494700.5,7.168465383613357e-104,0.8163105178046929,True,0.414668250538597,0.06236871242266606,9.288715708344067e-104
8,2775,IPR009014,topq,772,785,0.9206585591234613,0.9032781715124912,0.937302729282862,557937.5,6.124491053213928e-182,0.9206585591234613,True,0.14397047429512874,-0.04712451558840696,8.286076130818843e-182
8,2775,IPR009014,mean,772,785,0.6991460677865418,0.6707508621827662,0.7280321194019999,423696.5,1.852377070791209e-42,0.6991460677865416,True,0.24276149203639602,-0.11004963834270963,2.05323723509387e-42
8,2775,IPR009014,topk,772,785,0.9440620771591695,0.9302748259133362,0.9569542465595194,572120.5,1.7842094321148864e-202,0.9440620771591697,True,0.46212132902825304,0.08671158690965249,2.564801058665149e-202
8,2166,IPR024072,max,135,142,0.9295774647887325,0.8987441314553991,0.958320292123109,17820.0,2.2456287426744047e-35,0.9295774647887324,True,-0.1128768953437147,0.1954640146789834,2.4305628744240616e-35
8,2166,IPR024072,topq,135,142,0.8601460615545122,0.8151264997391758,0.9022443922796035,16489.0,1.8994907381861739e-25,0.8601460615545122,True,-0.5776099879805754,0.032502588279542326,2.0320133478270696e-25
8,2166,IPR024072,mean,135,142,0.6444444444444445,0.5818453312467398,0.70834767866458,12354.0,1.6310158306340087e-05,0.6444444444444445,True,-0.6211719275479259,-0.006299747267283785,1.7051529138446455e-05
8,2166,IPR024072,topk,135,142,0.6438706311945749,0.5795983307250914,0.711065466875326,12343.0,1.75287043655634e-05,0.6438706311945749,True,0.11370425247931511,0.435478936679297,1.8119559568896997e-05
12,2112,IPR029058,max,2937,2957,0.9940694040525709,0.991634443364769,0.9962353401823827,8633203.5,0.0,0.994069404052571,True,0.1950952133752412,-0.008339899756948196,0.0
12,2112,IPR029058,topq,2937,2957,0.99421287460524,0.9917870607408953,0.9963588546835593,8634449.5,0.0,0.9942128746052401,True,0.07538773069125468,-0.10131405670380136,0.0
12,2112,IPR029058,mean,2937,2957,0.8810754050596283,0.8721218782344924,0.8899307089621541,7651883.5,0.0,0.8810754050596283,True,-0.40538236973789893,-0.254348420171717,0.0
12,2112,IPR029058,topk,2937,2957,0.991527695401193,0.9887188332965444,0.9941495909649937,8611129.5,0.0,0.991527695401193,True,0.40153343377372347,0.09544315712571504,0.0
12,3536,IPR029063,max,10228,10545,0.9693640937316708,0.9669595184511025,0.9718410158300654,104550047.0,0.0,0.9693640937316709,True,0.07643936548737261,0.15480656751733315,0.0
12,3536,IPR029063,topq,10228,10545,0.9724219562583806,0.9700906200876998,0.9747665780656231,104879850.5,0.0,0.9724219562583806,True,-0.3883219851422087,0.08944844863892992,0.0
12,3536,IPR029063,mean,10228,10545,0.16412957633755032,0.15848161305821395,0.16973434150862468,17702074.0,1.0,0.16412957633755032,True,0.20655847449478243,0.050506111582179915,1.0
12,3536,IPR029063,topk,10228,10545,0.6739875272427811,0.6668049897843628,0.681557692296994,72692426.0,0.0,0.6739875272427811,True,0.521653813321781,0.32873189699163663,0.0
12,1256,IPR016181,max,1554,1579,0.9569099090948362,0.9481016221595703,0.9653998384524034,2348033.0,0.0,0.9569099090948363,True,0.18166153144171557,0.1651547500700738,0.0
12,1256,IPR016181,topq,1554,1579,0.9597255810048718,0.9512687232604901,0.967729492135762,2354942.0,0.0,0.9597255810048717,True,-0.2710185626736898,0.08839290936660096,0.0
